species,habitat,origin,life.habitat
Thuja_occidentalis,wetland,native,tree
Tilia_cordata,terrestrial,alien,tree
Trifolium_campestre,terrestrial,alien,forb
Trifolium_repens,terrestrial,alien,forb
Trillium_grandiflorum,terrestrial,native,forb
Triticum_aestivum,terrestrial,alien,grass
Tsuga_canadensis,terrestrial,native,tree
Ulmus_glabra,terrestrial,alien,tree
Ulmus_thomasii,terrestrial,native,tree
Urtica_dioica,terrestrial,native,forb
Utricularia_macrorhiza,aquatic,native,forb
Utricularia_purpurea,aquatic,native,forb
Utricularia_resupinata,aquatic,native,forb
Vaccinium_corymbosum,wetland,native,shrub
Vallisneria_americana,aquatic,native,forb
Verbena_bonariensis,terrestrial,alien,forb
Veronica_americana,wetland,native,forb
Veronica_arvensis,terrestrial,alien,forb
Vinca_minor,terrestrial,alien,shrub
Vitis_labrusca,terrestrial,native,vine
Wisteria_sinensis,terrestrial,alien,vine
Wolffia_brasiliensis,aquatic,native,forb
Wolffia_columbiana,aquatic,native,forb
Xanthium_strumarium,terrestrial,alien,forb
Zannichellia_palustris,aquatic,native,forb
